client_id,completed,Variation
168727,1,Control
168940,0,Control
168989,1,Test
169185,1,Test
169560,0,Test
169620,1,Test
169784,0,Test
170383,1,Test
170462,0,Test
170507,1,Control
170660,1,Control
170798,1,Test
170865,1,Control
170895,1,Control
170896,1,Control
171096,1,Test
171484,1,Test
171492,1,Test
171583,1,Test
171597,1,Test
171971,1,Test
172422,0,Test
172858,1,Test
173084,0,Control
173122,1,Control
173784,1,Control
174238,1,Test
174244,1,Test
174360,0,Control
174800,1,Control
174806,1,Control
175033,1,Control
175128,0,Control
175196,0,Control
175625,0,Test
175752,1,Test
175784,1,Control
175907,0,Test
176114,1,Test
176808,1,Control
176963,1,Test
176966,1,Test
177581,1,Control
177765,1,Test
177876,1,Control
177990,1,Control
178125,1,Test
178214,1,Test
178493,1,Control
178853,0,Control
179027,0,Control
179076,1,Control
179119,1,Test
179358,0,Test
179489,1,Control
179667,0,Test
180142,1,Control
180381,1,Control
180404,1,Control
180425,1,Test
180953,1,Control
181125,1,Test
181254,1,Test
182074,1,Test
182574,1,Control
182575,0,Control
182591,0,Control
182739,1,Test
183077,1,Test
183287,1,Control
183399,1,Control
183713,0,Control
183720,1,Test
183855,1,Control
184127,1,Test
184211,1,Control
184216,1,Test
184396,0,Test
184701,1,Test
184963,1,Control
185096,1,Test
185553,0,Control
185675,1,Test
185881,1,Control
185963,1,Test
186246,1,Control
186550,0,Test
186612,1,Control
186857,1,Test
187308,0,Test
187326,0,Test
187498,1,Test
187547,1,Test
187837,1,Control
187901,1,Control
187902,0,Test
188427,1,Control
188807,0,Control
189053,1,Control
189267,1,Control
189299,1,Control
189571,1,Control
189572,1,Test
190001,1,Test
190197,1,Control
190246,1,Test
190580,1,Test
190598,1,Test
191300,0,Test
191373,1,Control
191619,1,Test
191749,1,Control
191877,1,Test
192049,0,Test
192160,0,Test
192386,0,Test
192518,1,Test
192577,1,Test
192654,0,Test
192775,0,Test
193054,1,Control
193111,1,Test
193303,1,Test
193305,1,Test
193457,1,Test
193613,0,Control
193835,1,Control
194066,0,Test
194329,1,Control
194470,0,Test
194686,1,Control
194784,1,Test
194816,0,Test
195080,1,Test
195166,1,Test
195310,1,Control
195446,1,Control
195455,0,Test
195655,1,Test
195714,1,Control
196053,1,Control
196103,1,Control
196286,1,Control
196531,0,Test
196635,1,Test
196675,1,Control
196865,0,Control
196988,0,Test
197335,0,Control
197374,1,Test
197518,1,Control
197560,1,Test
197793,1,Test
197955,0,Control
198652,1,Test
198773,0,Control
198857,1,Control
198932,1,Control
198935,1,Test
199386,1,Test
200308,0,Test
200352,1,Control
200372,1,Control
200598,1,Test
200604,1,Control
200648,0,Test
200698,1,Test
200707,1,Test
201225,0,Control
201392,1,Control
201394,1,Test
201447,1,Test
201641,1,Test
201846,0,Test
201909,1,Test
202371,1,Test
202856,1,Control
202865,1,Control
202925,0,Control
202973,1,Test
203027,1,Test
203223,1,Test
203427,0,Control
203500,0,Test
203702,0,Control
203797,0,Test
204212,1,Control
204361,1,Control
204445,1,Test
204496,0,Control
204784,1,Test
204888,1,Test
205273,1,Test
205429,1,Test
205563,1,Test
206428,1,Test
206829,1,Control
206871,0,Test
207109,0,Test
207261,1,Test
207299,1,Control
207387,0,Test
207416,1,Control
207455,0,Test
207721,1,Control
208156,1,Test
208237,1,Control
208307,0,Control
208505,1,Test
208525,0,Test
208722,0,Control
208784,1,Test
209090,0,Control
209099,1,Test
209462,1,Test
209511,1,Control
209532,0,Control
210140,1,Test
210141,1,Test
210180,0,Test
210347,1,Control
210473,1,Control
210667,1,Test
211023,1,Test
211380,0,Test
211694,1,Test
211709,1,Control
211786,0,Control
212071,1,Control
212654,1,Test
213006,0,Test
213870,0,Control
214083,0,Test
214594,1,Control
214667,0,Test
214786,0,Control
214944,0,Control
214998,1,Control
215411,1,Test
215661,1,Test
215880,0,Control
216445,1,Control
217308,1,Test
217500,1,Control
217547,1,Test
217761,0,Test
217950,0,Test
218589,1,Test
218777,1,Test
218903,0,Control
219038,0,Test
219207,0,Test
219230,0,Control
219306,1,Control
219592,1,Test
219851,1,Control
219882,0,Test
219909,1,Test
220061,0,Test
220394,1,Control
220594,1,Test
220644,1,Control
220901,1,Control
221092,1,Test
221296,1,Test
221354,1,Control
221385,1,Test
221558,1,Control
221734,1,Control
221775,0,Control
221779,1,Test
222111,1,Test
222315,0,Control
222726,1,Control
222973,0,Test
223224,1,Control
223802,0,Test
224102,1,Control
224773,0,Test
225062,0,Control
225103,1,Control
225368,0,Control
225675,0,Control
225928,1,Control
226198,1,Test
226234,1,Control
226403,0,Control
226818,1,Test
226840,0,Control
226853,1,Test
227083,0,Control
227588,1,Test
227610,1,Test
227629,1,Control
227631,1,Test
227805,1,Test
228465,1,Test
228538,0,Test
228662,1,Test
228758,0,Test
228783,0,Test
228868,1,Test
229123,1,Test
229242,1,Control
229490,1,Test
229500,1,Control
229522,1,Test
229701,1,Control
229800,1,Test
230117,0,Control
230423,1,Test
230492,1,Control
230538,1,Test
230551,0,Test
230560,1,Control
230950,1,Control
231622,0,Test
231804,0,Test
233145,1,Test
233249,1,Control
233312,1,Test
233344,1,Test
233391,1,Test
233429,1,Test
233601,1,Control
233796,0,Test
233799,1,Control
233965,1,Control
234014,1,Test
234316,1,Test
234491,0,Control
234619,1,Test
235037,1,Test
235156,0,Test
235331,1,Control
235342,1,Test
236486,1,Control
236511,1,Test
236546,1,Control
236696,1,Test
237072,0,Test
237182,0,Control
237500,0,Control
237511,1,Test
237525,1,Control
237611,1,Test
237686,0,Test
237822,1,Control
237927,1,Control
238091,1,Test
238154,1,Control
238320,0,Control
238490,1,Control
238672,0,Control
238874,0,Control
239127,1,Test
239136,1,Control
239291,1,Test
239465,0,Test
239685,0,Control
239772,1,Control
239815,1,Control
240288,1,Control
240400,1,Control
240468,1,Control
240560,1,Test
241057,1,Control
241085,1,Test
241571,1,Control
242019,0,Control
242197,1,Test
242235,1,Test
242241,0,Control
242262,1,Control
242576,1,Test
242792,0,Control
242833,1,Control
242922,1,Control
243705,1,Test
244011,1,Test
244283,0,Test
244304,1,Control
244487,1,Test
244897,0,Control
244941,1,Test
245270,1,Control
245312,0,Test
245646,1,Control
246429,1,Test
246710,1,Test
246812,1,Test
246901,1,Test
246911,1,Control
246922,0,Test
247432,0,Control
247960,1,Test
248317,1,Test
248347,0,Control
248426,0,Test
248485,1,Control
248531,1,Test
248569,1,Test
249333,1,Control
249632,1,Test
249680,0,Control
249743,1,Control
250165,1,Control
250277,0,Control
250645,1,Test
250763,1,Control
250924,1,Test
251184,1,Control
251242,0,Control
251414,1,Test
251479,0,Control
251519,0,Test
251727,0,Control
251748,1,Test
252002,1,Control
252042,0,Control
252085,0,Control
252509,1,Control
252667,1,Test
252744,0,Control
252898,1,Test
253049,1,Test
253211,0,Test
253639,1,Test
253737,1,Control
253977,1,Control
254266,1,Control
254302,1,Test
254417,1,Test
254491,1,Control
254505,1,Test
254529,1,Control
254604,1,Test
254909,1,Control
254955,1,Test
255668,0,Control
255743,1,Control
256199,0,Control
256277,1,Test
256308,0,Control
256318,1,Control
256325,0,Test
256853,0,Control
257116,1,Test
257259,1,Test
257347,0,Test
257411,0,Control
257597,1,Control
257840,1,Test
257907,1,Test
258144,1,Test
258198,1,Control
258243,0,Test
258563,0,Control
258829,1,Control
258909,1,Test
259061,1,Control
259228,1,Test
259331,0,Test
259424,0,Control
259817,1,Test
260044,1,Test
260054,0,Control
260336,1,Test
260668,1,Test
260727,1,Test
260843,1,Test
261325,0,Test
261440,0,Control
261785,0,Test
261852,1,Test
261857,0,Control
262054,1,Control
262201,0,Control
262503,1,Test
262535,1,Control
262591,0,Control
262702,1,Test
263177,0,Test
263217,1,Control
263861,1,Test
264049,1,Test
265126,0,Test
265715,1,Test
266183,1,Control
266232,1,Test
266315,0,Test
266404,1,Test
266497,0,Control
266635,0,Control
266896,0,Test
267117,0,Control
267299,1,Control
267341,1,Test
267391,1,Test
267397,0,Control
267446,1,Control
267551,0,Test
267576,1,Control
267928,1,Test
268386,1,Control
268415,1,Test
268441,1,Control
268509,0,Control
268845,0,Control
268908,1,Control
268972,1,Control
269352,1,Control
269373,1,Control
269520,1,Control
269529,1,Test
269636,1,Control
269660,1,Test
269751,0,Test
270013,1,Test
270173,1,Test
270527,1,Control
270539,1,Test
270682,1,Control
271343,1,Test
271577,1,Control
271840,0,Test
271955,1,Control
272484,0,Test
272924,0,Control
272934,1,Control
273258,0,Control
273319,1,Control
273469,1,Test
273721,0,Test
273872,1,Control
274222,0,Control
274416,0,Test
274453,1,Control
274476,1,Test
274798,1,Control
274816,0,Control
275144,1,Test
275210,1,Test
275288,0,Test
276792,1,Test
277068,1,Test
277251,1,Control
277560,0,Control
277875,0,Control
278017,1,Test
278457,1,Test
278834,0,Control
278839,0,Test
278866,0,Control
279311,1,Test
279675,1,Test
279718,0,Test
279820,0,Test
280389,1,Test
280640,0,Control
280881,1,Test
280950,0,Control
281095,1,Test
281100,1,Test
282077,1,Control
282081,1,Control
282393,1,Control
283127,1,Test
283311,0,Test
283338,0,Control
283734,1,Test
283840,1,Test
284347,0,Control
284427,1,Test
284562,0,Test
284648,1,Test
285205,0,Control
285338,1,Test
285619,1,Control
285977,0,Control
286117,0,Control
286645,1,Test
286837,1,Test
286957,1,Test
287006,1,Control
287010,1,Test
287195,1,Test
287360,1,Test
287737,0,Control
287756,0,Control
287817,1,Test
288973,0,Test
289030,0,Control
289514,0,Control
289716,0,Test
289799,0,Test
290869,0,Control
291182,1,Control
291330,0,Control
291411,1,Control
292165,1,Control
292316,0,Test
292370,1,Control
292583,1,Test
292662,0,Control
292742,1,Test
292768,0,Control
292788,1,Test
292954,1,Control
293002,0,Control
293075,1,Test
293082,0,Test
293284,0,Control
293500,1,Control
293841,1,Control
294034,1,Test
294716,1,Control
294956,1,Test
295552,1,Test
295651,0,Test
295858,1,Test
296131,1,Test
296154,1,Control
296161,1,Control
296285,1,Control
296314,1,Test
296402,0,Test
296527,1,Control
297011,1,Control
297220,1,Control
297253,1,Test
297472,1,Control
297511,1,Test
297721,1,Test
297788,1,Test
297959,0,Test
298442,1,Control
298590,0,Test
298708,1,Test
298786,1,Test
298925,1,Control
299060,1,Control
299462,1,Control
299523,1,Control
299563,1,Control
299872,1,Control
300527,1,Test
300899,0,Test
301097,1,Control
301141,1,Control
301165,1,Test
301330,1,Control
301637,1,Test
301969,1,Test
302069,1,Control
302083,1,Test
302140,1,Test
302202,0,Control
303136,1,Test
303432,1,Test
303497,1,Test
303551,0,Test
303920,1,Test
304434,0,Test
304915,1,Test
304982,0,Control
305018,0,Control
305028,1,Test
305138,0,Control
305251,1,Test
305572,1,Control
305648,1,Test
306118,1,Test
306459,1,Test
306592,1,Test
307667,1,Control
307881,1,Test
307903,0,Control
308060,1,Test
308167,1,Test
308531,1,Test
308702,0,Test
309009,1,Test
309189,1,Control
309302,0,Test
309362,1,Test
309480,0,Test
309508,1,Control
309715,1,Control
309846,0,Test
309851,0,Control
309979,1,Control
310181,1,Test
310366,0,Control
310380,1,Control
310446,0,Test
310644,0,Test
310721,1,Test
311194,0,Control
311251,1,Test
311296,0,Control
311471,0,Control
311794,1,Control
312042,1,Test
312094,1,Control
312131,0,Test
312165,0,Control
312199,1,Test
312698,1,Control
312726,1,Control
312781,1,Test
312799,1,Control
312887,1,Test
312984,1,Control
313261,0,Control
313570,1,Test
313591,1,Test
313763,1,Control
313789,1,Control
314189,1,Test
314209,1,Test
314673,1,Test
314958,1,Control
314959,1,Control
315324,1,Test
316017,1,Test
316463,1,Control
316514,1,Test
316689,1,Control
316989,1,Test
317043,1,Control
317351,1,Test
317438,0,Test
317713,0,Test
317857,0,Test
318182,1,Control
318535,1,Test
318680,0,Test
318831,0,Test
318849,1,Test
318876,1,Test
318888,0,Test
319514,1,Test
319618,1,Test
319648,1,Test
319800,0,Test
319807,0,Control
319927,0,Control
319971,1,Control
320094,1,Test
320321,1,Test
320499,1,Control
320586,1,Control
320617,1,Test
320786,1,Control
320798,0,Test
320868,0,Test
321188,0,Control
321523,1,Test
321755,0,Test
322007,1,Test
322174,0,Control
322453,1,Control
322785,0,Test
322818,0,Control
322874,1,Control
322927,1,Control
323290,1,Control
323337,0,Control
323407,1,Control
323628,0,Test
323720,1,Test
323753,1,Test
323950,1,Control
323999,1,Test
324086,0,Control
324094,1,Test
324516,1,Control
325301,1,Control
325599,0,Control
325933,1,Test
326039,1,Control
326204,0,Test
326512,0,Test
326613,0,Test
326707,0,Test
327151,1,Control
327337,1,Control
327362,0,Test
327511,1,Test
327520,0,Test
327539,1,Test
327568,1,Test
327738,0,Control
327979,0,Control
328027,1,Control
328050,1,Control
329062,1,Test
329574,1,Test
329631,1,Control
329693,1,Control
329730,1,Test
330024,1,Control
330035,1,Test
330243,0,Control
330666,1,Control
331139,1,Test
331166,0,Test
331379,1,Control
331795,1,Control
332073,1,Control
332101,1,Test
332121,0,Control
332287,1,Test
332658,1,Test
333023,1,Test
333321,0,Test
333392,1,Test
333744,0,Test
334181,1,Test
334242,0,Test
334362,0,Test
334785,0,Test
334941,1,Control
335080,1,Control
335335,1,Test
335389,1,Control
335786,0,Test
335913,0,Test
335950,0,Control
336166,1,Control
336203,1,Control
336265,1,Test
336279,1,Control
336414,1,Control
336421,0,Test
336903,0,Test
337421,1,Test
337729,1,Control
337878,1,Test
338164,1,Control
338292,1,Test
338607,1,Test
338641,0,Control
338896,0,Control
339004,1,Control
339258,0,Test
339396,1,Control
339684,1,Test
340120,0,Control
340192,1,Test
340426,0,Test
340480,0,Test
340534,0,Control
340947,0,Test
341102,0,Test
341409,0,Test
341429,1,Control
341647,1,Test
341976,1,Test
342070,1,Test
342283,1,Test
342322,1,Test
342333,1,Control
342341,1,Control
342517,1,Control
342646,0,Control
342684,1,Control
342757,1,Test
343183,0,Control
343525,0,Test
343583,1,Control
343737,0,Test
343881,1,Control
343906,1,Control
343935,0,Test
344514,1,Test
344840,0,Control
344960,1,Control
345640,0,Test
346106,1,Control
346406,1,Test
